Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"GreenHub: a large-scale collaborative dataset to battery consumption analysis of android devices","Empirical Software Engineering","","26","3","10.1007/s10664-020-09925-5","Rui PereiraHugo MatalongaMarco CoutoFernando CastorBruno CabralPedro CarvalhoSimão Melo de SousaJoão Paulo Fernandes","2021","http://link.springer.com/article/10.1007/s10664-020-09925-5","Article"
"SPReaD: service-oriented process for reengineering and DevOps","Service Oriented Computing and Applications","","","","10.1007/s11761-021-00329-x","Carlos Eduardo da SilvaYan de Lima JustinoEiji Adachi","2021","http://link.springer.com/article/10.1007/s11761-021-00329-x","Article"
"Using a balanced scorecard to identify opportunities to improve code review effectiveness: an industrial experience report","Empirical Software Engineering","","26","6","10.1007/s10664-021-10038-w","Masum HasanAnindya IqbalMohammad Rafid Ul IslamA.J.M. Imtiajur RahmanAmiangshu Bosu","2021","http://link.springer.com/article/10.1007/s10664-021-10038-w","Article"
"Complement for two-way alternating automata","Acta Informatica","","58","5","10.1007/s00236-020-00373-8","Viliam GeffertChristos A. KapoutsisMohammad Zakzok","2021","http://link.springer.com/article/10.1007/s00236-020-00373-8","Article"
"Model-based cloud resource management with TOSCA and OCCI","Software and Systems Modeling","","20","5","10.1007/s10270-021-00869-y","Stéphanie ChallitaFabian KorteJohannes ErbelFaiez ZalilaJens GrabowskiPhilippe Merle","2021","http://link.springer.com/article/10.1007/s10270-021-00869-y","Article"
"Phase transition of the 2-Choices dynamics on core–periphery networks","Distributed Computing","","34","3","10.1007/s00446-021-00396-5","Emilio CrucianiEmanuele NataleAndré NusserGiacomo Scornavacca","2021","http://link.springer.com/article/10.1007/s00446-021-00396-5","Article"
"Fully Responsive Image and Speech Detection Artificial Yankee (FRIDAY): Human Assistant","SN Computer Science","","2","4","10.1007/s42979-021-00630-8","Supreeth RAjay S KamathSrinidhi A NKumaraswamy R","2021","http://link.springer.com/article/10.1007/s42979-021-00630-8","Article"
"Development of educational model of power compensated differential scanning calorimeter (PC-DSC)","CSI Transactions on ICT","","9","1","10.1007/s40012-020-00320-5","R. ParthasarathyE. PrabhuK. VenkatramananT. Gnanasekaran","2021","http://link.springer.com/article/10.1007/s40012-020-00320-5","Article"
"Studies of Norm-Based Locality Measures of Two-Dimensional Hilbert Curves","SN Computer Science","","2","5","10.1007/s42979-021-00711-8","H. K. DaiH. C. Su","2021","http://link.springer.com/article/10.1007/s42979-021-00711-8","Article"
"Evaluating the impact of falsely detected performance bug-inducing changes in JIT models","Empirical Software Engineering","","26","5","10.1007/s10664-021-10004-6","Sophia QuachMaxime LamotheBram AdamsYasutaka KameiWeiyi Shang","2021","http://link.springer.com/article/10.1007/s10664-021-10004-6","Article"
"Automata-based monitoring for LTL-FO
              
                
              
              $$^+$$
              
                
                  
                  +","International Journal on Software Tools for Technology Transfer","","23","2","10.1007/s10009-020-00566-z","Raphaël KhourySylvain HalléYannick Lebrun","2021","http://link.springer.com/article/10.1007/s10009-020-00566-z","Article"
"A method for transforming knowledge discovery metamodel to ArchiMate models","Software and Systems Modeling","","","","10.1007/s10270-021-00912-y","Ricardo Pérez-CastilloAndrea DelgadoFrancisco RuizVirginia BacigalupeMario Piattini","2021","http://link.springer.com/article/10.1007/s10270-021-00912-y","Article"
"Information security implications of using NLP in IT outsourcing: a Diffusion of Innovation theory perspective","Automated Software Engineering","","28","2","10.1007/s10515-021-00286-x","Baber Majid BhattiSameera MubarakSev Nagalingam","2021","http://link.springer.com/article/10.1007/s10515-021-00286-x","Article"
"Property testing of planarity in the CONGEST model","Distributed Computing","","34","1","10.1007/s00446-020-00382-3","Reut LeviMoti MedinaDana Ron","2021","http://link.springer.com/article/10.1007/s00446-020-00382-3","Article"
"Interprocedural Static Analysis for Finding Bugs in Go Programs","Programming and Computer Software","","47","5","10.1134/S0361768821050030","I. V. BolotnikovA. E. Borodin","2021","http://link.springer.com/article/10.1134/S0361768821050030","Article"
"EvoCluster: An Open-Source Nature-Inspired Optimization Clustering Framework","SN Computer Science","","2","3","10.1007/s42979-021-00511-0","Raneem QaddouraHossam FarisIbrahim AljarahPedro A. Castillo","2021","http://link.springer.com/article/10.1007/s42979-021-00511-0","Article"
"Extended Authorization Policy for Graph-Structured Data","SN Computer Science","","2","5","10.1007/s42979-021-00684-8","Aya MohamedDagmar AuerDaniel HoferJosef Küng","2021","http://link.springer.com/article/10.1007/s42979-021-00684-8","Article"
"FeatCompare: Feature comparison for competing mobile apps leveraging user reviews","Empirical Software Engineering","","26","5","10.1007/s10664-021-09988-y","Maram AssiSafwat HassanYuan TianYing Zou","2021","http://link.springer.com/article/10.1007/s10664-021-09988-y","Article"
"Light Transport in Realistic Rendering: State-of-the-Art Simulation Methods","Programming and Computer Software","","47","4","10.1134/S0361768821040034","V. A. FrolovA. G. VoloboyS. V. ErshovV. A. Galaktionov","2021","http://link.springer.com/article/10.1134/S0361768821040034","Article"
"CoviChain: A Blockchain Based Framework for Nonrepudiable Contact Tracing in Healthcare Cyber-Physical Systems During Pandemic Outbreaks","SN Computer Science","","2","5","10.1007/s42979-021-00746-x","Sukrutha L. T. VangipuramSaraju P. MohantyElias Kougianos","2021","http://link.springer.com/article/10.1007/s42979-021-00746-x","Article"
"Distributed data hiding in a single cloud storage environment","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00258-2","Stéphane Willy Mossebo TcheunteuLeonel Moyou MetchekaRené Ndoundam","2021","http://link.springer.com/article/10.1186/s13677-021-00258-2","Article"
"Maintenance-related concerns for post-deployed Ethereum smart contract development: issues, techniques, and future challenges","Empirical Software Engineering","","26","6","10.1007/s10664-021-10018-0","Jiachi ChenXin XiaDavid LoJohn GrundyXiaohu Yang","2021","http://link.springer.com/article/10.1007/s10664-021-10018-0","Article"
"Holistic data-driven requirements elicitation in the big data era","Software and Systems Modeling","","","","10.1007/s10270-021-00926-6","Aron HenrikssonJelena Zdravkovic","2021","http://link.springer.com/article/10.1007/s10270-021-00926-6","Article"
"Pupils’ Digital Literacy Reflected in Teachers’ Attitudes Towards ICT: Case Study of the Czech Republic","SN Computer Science","","2","3","10.1007/s42979-021-00567-y","Lukas CirusIvana Simonova","2021","http://link.springer.com/article/10.1007/s42979-021-00567-y","Article"
"Towards Tolerating Soft Errors for Embedded Systems","SN Computer Science","","2","2","10.1007/s42979-021-00497-9","Muhammad Sheikh SadiWaseem AhmedJan Jürjens","2021","http://link.springer.com/article/10.1007/s42979-021-00497-9","Article"
"Learning and analysis of sensors behavior in IoT systems using statistical model checking","Software Quality Journal","","","","10.1007/s11219-021-09559-w","Salim ChehidaAbdelhakim BaouyaSaddek BensalemMarius Bozga","2021","http://link.springer.com/article/10.1007/s11219-021-09559-w","Article"
"Dynamical analysis of diversity in rule-based open source network intrusion detection systems","Empirical Software Engineering","","27","1","10.1007/s10664-021-10046-w","Hafizul AsadIlir Gashi","2021","http://link.springer.com/article/10.1007/s10664-021-10046-w","Article"
"Exposing safe correlations in transactional datasets","Service Oriented Computing and Applications","","","","10.1007/s11761-021-00325-1","Elie ChichaBechara Al BounaKay WünscheRichard Chbeir","2021","http://link.springer.com/article/10.1007/s11761-021-00325-1","Article"
"Analyzing Sequence Data with Markov Chain Models in Scientific Experiments","SN Computer Science","","2","5","10.1007/s42979-021-00768-5","Evgenia PaxinouDimitrios KallesChristos T. PanagiotakopoulosVassilios S. Verykios","2021","http://link.springer.com/article/10.1007/s42979-021-00768-5","Article"
"Review of Recent Technologies for Tackling COVID-19","SN Computer Science","","2","6","10.1007/s42979-021-00841-z","Ayman AlharbiMD Abdur Rahman","2021","http://link.springer.com/article/10.1007/s42979-021-00841-z","Article"
"Optimal extension protocols for byzantine broadcast and agreement","Distributed Computing","","34","1","10.1007/s00446-020-00384-1","Chaya GaneshArpita Patra","2021","http://link.springer.com/article/10.1007/s00446-020-00384-1","Article"
"The forgotten role of search queries in IR-based bug localization: an empirical study","Empirical Software Engineering","","26","6","10.1007/s10664-021-10022-4","Mohammad Masudur RahmanFoutse KhomhShamima YeasminChanchal K. Roy","2021","http://link.springer.com/article/10.1007/s10664-021-10022-4","Article"
"Methods, Databases and Recent Advancement of Vision-Based Hand Gesture Recognition for HCI Systems: A Review","SN Computer Science","","2","6","10.1007/s42979-021-00827-x","Debajit SarmaM. K. Bhuyan","2021","http://link.springer.com/article/10.1007/s42979-021-00827-x","Article"
